,Postal Code,x,y,inseecode,place,population,density
33,1370,-0.10497579,0.74936825,1038,Bény,587,32
34,1350,-0.10035606,0.7400509,1039,Béon,348,34
35,1340,-0.107695125,0.7502773,1040,Béréziat,308,28
36,1500,-0.104783796,0.7423102,1041,Bettant,703,209
37,1290,-0.11040275,0.74796593,1042,Bey,195,70
38,1700,-0.10940974,0.7410989,1043,Beynost,3141,295
39,1200,-0.09950687,0.7440576,1044,Billiat,396,29
40,1330,-0.108764075,0.7430734999999999,1045,Birieux,125,8
41,1290,-0.10940493,0.7478439,1046,Biziat,574,50
42,1150,-0.106359065,0.74102867,1047,Blyes,535,57
43,1250,-0.103914835,0.7463132,1048,Bohas,0,0
44,1120,-0.108972795,0.7413394,1049,La Boisse,2419,257
45,1190,-0.10825729,0.7506383000000001,1050,Boissey,206,23
46,1450,-0.10284907,0.746777,1051,Bolozon,93,19
47,1330,-0.10902568,0.74427795,1052,Bouligneux,274,11
48,1000,-0.10604544,0.74714804,1053,Bourg-en-Bresse,40972,1717
49,1800,-0.10729591,0.74172527,1054,Bourg-Saint-Christophe,716,80
50,1100,-0.100888096,0.74802035,1055,Bouvent,0,0
51,1640,-0.103380136,0.74390703,1056,Boyeux-Saint-Jéréme,241,14
52,1190,-0.1094156,0.7510726,1057,Boz,352,48
53,1300,-0.102324225,0.7370491,1058,Brégnier-Cordon,511,46
54,1260,-0.10053358,0.7421209,1059,Brénaz,95,10
55,1110,-0.101711154,0.74430335,1060,Brénod,385,16
56,1360,-0.10813414,0.74153197,1062,Bressolles,480,62
57,1470,-0.10387692,0.7395686,1064,Briord,618,50
58,1310,-0.10704404,0.7472663,1065,Buellas,1162,114
59,1510,-0.1025374,0.740588,1066,La Burbanche,60,6
60,1430,-0.10281425,0.7453076999999999,1067,Ceignes,160,16
61,1450,-0.10328077,0.7447748000000001,1068,Cerdon,672,55
62,1240,-0.10558183,0.74592066,1069,Certines,916,58
63,1090,-0.11092242599999999,0.74538916,1070,Cesseins,0,0
64,1170,-0.09563681,0.74803215,1071,Cessy,1763,276
65,1250,-0.10491436,0.74642915,1072,Ceyzériat,2058,220
66,1350,-0.10055737,0.74007326,1073,Ceyzérieu,766,39
67,1320,-0.10705598,0.7437491,1074,Chalamont,1476,45
68,1480,-0.11139401,0.7448607,1075,Chaleins,754,44
69,1230,-0.10274262,0.7423691,1076,Chaley,107,23
70,1450,-0.10318141,0.7456425999999999,1077,Challes,193,25
71,1630,-0.09708356,0.7458439,1078,Challex,967,112
72,1260,-0.10103213,0.74129754,1079,Champagne-en-Valromey,667,37
73,1110,-0.10180898,0.7434354000000001,1080,Champdor,459,26
74,1410,-0.09885177,0.7463291999999999,1081,Champfromier,440,14
75,1420,-0.09963446,0.7429001000000001,1082,Chanay,410,23
76,1990,-0.11065127,0.7459428000000001,1083,Chaneins,478,38
77,1400,-0.10827698,0.7471206,1084,Chanoz-Chétenay,476,35
78,1240,-0.10852056,0.7450968000000001,1085,La Chapelle-du-Chételard,247,18
79,1260,-0.10157024,0.7419437,1086,Charancin,0,0
80,1130,-0.10048323,0.7462168,1087,Charix,261,14
81,1800,-0.10672716,0.74136496,1088,Charnoz-sur-Ain,416,63
82,1500,-0.10551946599999999,0.7429819000000001,1089,Chéteau-Gaillard,1027,64
83,1320,-0.10658669999999999,0.74428,1090,Chétenay,276,18
84,1200,-0.09937925,0.7452153,1091,Chétillon-en-Michaille,2189,58
85,1320,-0.106121406,0.7430524000000001,1092,Chétillon-la-Palud,874,62
86,1400,-0.10921607,0.74606085,1093,Chétillon-sur-Chalaronne,3786,211
87,1190,-0.10815247,0.7515059000000001,1094,Chavannes-sur-Reyssouze,565,34
88,1250,-0.10351499,0.7480259,1095,Chavannes-sur-Suran,419,19
89,1660,-0.10787748,0.7470726,1096,Chaveyriat,766,45
90,1510,-0.10086333,0.7409858,1097,Chavornay,175,23
91,1300,-0.10122581,0.73956186,1098,Chazey-Bons,684,65
92,1150,-0.10625722,0.7418958999999999,1099,Chazey-sur-Ain,895,41
93,1510,-0.10196635,0.7402306,1100,Cheignieu-La-Balme,110,18
94,1430,-0.10181348,0.7451941,1101,Chevillard,137,21
95,1190,-0.10885413,0.7507106,1102,Chevroux,586,34
96,1170,-0.09609777,0.74749553,1103,Chevry,733,126
97,1200,-0.098020546,0.74653137,1104,Chézery-Forens,357,8
98,1390,-0.11064033,0.7427147,1105,Civrieux,954,48
99,1250,-0.10344849999999998,0.7468457,1106,Cize,112,25
100,1230,-0.10404704,0.7416391,1107,Cleyzieu,84,11
101,1270,-0.104078025,0.7501433000000001,1108,Coligny,1117,66
102,1550,-0.09797799,0.74506193,1109,Collonges,1000,62
103,1300,-0.10216156400000001,0.7384951999999999,1110,Colomieu,114,19
104,1230,-0.10367823,0.74130374,1111,Conand,56,4
105,1430,-0.10201363,0.7452167,1112,Condamine,248,53
106,1400,-0.10771233599999999,0.7467596,1113,Condeissiat,581,27
107,1200,-0.098947115,0.74546075,1114,Confort,449,39
108,1310,-0.10770413,0.7485183000000001,1115,Confranéon,805,44
109,1300,-0.10183003,0.7396295,1116,Contrevoz,416,29
110,1300,-0.10236322,0.7385179000000001,1117,Conzieu,79,11
111,1420,-0.09932839,0.74198776,1118,Corbonod,841,27
112,1110,-0.10197686,0.7437474000000001,1119,Corcelles,207,15
113,1120,-0.108833656,0.7424954,1120,Cordieux,0,0
114,1110,-0.10297923,0.7438611999999999,1121,Corlier,76,14
115,1110,-0.101939395,0.7422783000000001,1122,Cormaranche-en-Bugey,704,37
116,1290,-0.110566735,0.74827945,1123,Cormoranche-sur-Saéne,780,79
117,1560,-0.105335206,0.75146335,1124,Cormoz,502,26
118,1250,-0.102782935,0.74735576,1125,Corveissiat,437,19
119,1370,-0.10397952,0.74925226,1127,Courmangoux,327,22
120,1560,-0.106890686,0.7519411,1128,Courtes,194,21
121,1320,-0.10652267,0.74309963,1129,Crans,209,16
122,1340,-0.106438875,0.7489541000000001,1130,Cras-sur-Reyssouze,846,61
123,1200,-0.09977119,0.74350107,1131,Craz-en-Michaille,0,0
124,1350,-0.10028258,0.73887134,1133,Cressin-Rochefort,250,32
125,1620,-0.10966282,0.74904877,1134,Crottet,1313,108
126,1290,-0.11000364,0.74791694,1136,Cruzilles-lés-Mépillat,580,49
127,1370,-0.103847146,0.74865067,1137,Cuisiat,0,0
128,1350,-0.09992154,0.7402958000000001,1138,Culoz,2639,136
129,1560,-0.106294654,0.7518701,1139,Curciat-Dongalon,449,19
130,1310,-0.10750471,0.7484944,1140,Curtafond,422,34
131,1120,-0.10857074,0.74129105,1142,Dagneux,3317,499
132,1220,-0.09474695,0.74881655,1143,Divonne-les-Bains,5580,165
133,1380,-0.10844417,0.7499275,1144,Dommartin,537,31
134,1240,-0.10651842,0.7448581,1145,Dompierre-sur-Veyle,828,28
135,1400,-0.10998065,0.7464470999999999,1146,Dompierre-sur-Chalaronne,268,56
136,1270,-0.10460766,0.75079143,1147,Domsure,436,29
137,1590,-0.10042429,0.7485545,1148,Dortan,2107,116
138,1500,-0.10468327,0.7431779000000001,1149,Douvres,606,115
139,1250,-0.10421412,0.7472273,1150,Drom,146,19
140,1160,-0.10511660000000002,0.74469364,1151,Druillat,823,40
141,1170,-0.09603587,0.7480747,1153,échenevex,997,61
142,1340,-0.10617111,0.74950886,1154,étrez,510,42
143,1230,-0.10312771,0.74255943,1155,évosges,101,8
144,1800,-0.10786422,0.74208605,1156,Faramans,482,43
145,1480,-0.11183032,0.7446212,1157,Fareins,1545,188
146,1550,-0.09771499,0.7456193,1158,Farges,559,39
147,1570,-0.10975601,0.74994034,1159,Feillens,2624,176
148,1210,-0.09516068,0.7468102,1160,Ferney-Voltaire,6408,1341
149,1260,-0.10116846,0.7418986999999999,1161,Fitignieu,0,0
150,1350,-0.10058946,0.73978394,1162,Flaxieu,53,19
151,1340,-0.10610265,0.75008744,1163,Foissiat,1481,37
152,1090,-0.11132265,0.74543846,1165,Amareins Francheleins Ces,826,61
153,1480,-0.11170152,0.7440186,1166,Frans,1549,194
154,1140,-0.11063788,0.7477013000000001,1167,Garnerans,484,56
155,1090,-0.11141548,0.74633026,1169,Genouilleux,320,78
156,1460,-0.10184993,0.7466634,1170,Géovreissiat,455,97
157,1100,-0.101352386,0.7474864999999999,1171,Géovreisset,450,129
158,1250,-0.103016324,0.74884814,1172,Germagnat,86,9
159,1170,-0.09560599,0.7483217,1173,Gex,6615,207
160,1130,-0.09938754,0.74697423,1174,Giron,88,9
161,1190,-0.10878387,0.75128895,1175,Gorrevod,512,74
162,1260,-0.10097436,0.7436348,1176,Le Grand-Abergement,96,3
163,1250,-0.10344849999999998,0.7468457,1177,Grand-Corent,104,15
164,1580,-0.10258325,0.747333,1178,Granges,0,0
165,1290,-0.11033174400000001,0.748544,1179,Griéges,1606,108
166,1220,-0.09500756,0.74825823,1180,Grilly,634,85
167,1810,-0.101417616,0.7469078,1181,Groissiat,611,97
168,1680,-0.10279924,0.7382741,1182,Groslée,286,39
169,1090,-0.11145123,0.74604136,1183,Guéreins,995,221
170,1250,-0.10373159,0.7461454000000001,1184,Hautecourt Romanéche,588,27
171,1110,-0.10190679999999999,0.7425675,1185,Hauteville-Lompnes,3895,77
172,1110,-0.10284121,0.7415013,1186,Hostias,56,5
173,1260,-0.100838415,0.74303365,1187,Hotonnes,268,9
174,1140,-0.11007441,0.7473388000000001,1188,Illiat,396,19
175,1200,-0.09953876,0.7437683,1189,Injoux Génissiat,940,32
176,1680,-0.10266833,0.73943096,1190,Innimond,81,6
177,1430,-0.10257830000000001,0.74381554,1191,Izenave,130,10
178,1580,-0.10201695599999999,0.7469755,1192,Izernore,1170,56
179,1300,-0.10212225,0.7370264,1193,Izieu,161,21
180,1480,-0.112102345,0.7440683000000001,1194,Jassans-Riottier,4609,958
181,1250,-0.10461354,0.7472736999999999,1195,Jasseron,1079,57
182,1340,-0.10689892,0.75018203,1196,Jayat,650,40
183,1250,-0.10474813,0.7461165,1197,Journans,286,118
184,1800,-0.10796148,0.74297726,1198,Joyeux,171,10
185,1640,-0.10398146,0.7439760999999999,1199,Jujurieux,1602,104
186,1450,-0.10304743,0.74504125,1200,Labalme,120,14
187,1150,-0.10505174,0.7417551,1202,Lagnieu,5686,209
188,1290,-0.10993289,0.74849504,1203,Laiz,806,78
189,1130,-0.10014767,0.74559337,1204,Lalleyriat,191,13
190,1200,-0.09877873,0.7451493,1205,Lancrans,815,84
191,1430,-0.10254544,0.7441048000000001,1206,Lantenay,235,36
192,1330,-0.10949647,0.74374855,1207,Lapeyrouse,207,10
193,1350,-0.10021866,0.73945004,1208,Lavours,108,17
194,1200,-0.098241195,0.744505,1209,Léaz,461,40
195,1410,-0.09706471,0.7478923000000001,1210,Lélex,232,13
196,1240,-0.10641594,0.74572575,1211,Lent,1043,33
197,1560,-0.10643208,0.7507130999999999,1212,Lescheroux,527,26
198,1150,-0.10562075,0.7421145,1213,Leyment,822,58
199,1450,-0.103115134,0.7462213000000001,1214,Leyssard,113,12
200,1680,-0.10313692,0.7388984000000001,1216,Lhuis,587,24
201,1260,-0.10093527,0.7421656,1217,Lilignod,0,0
202,1260,-0.10056574,0.74183154,1218,Lochieu,69,10
203,1680,-0.103239715,0.73978883,1219,Lompnas,137,11
204,1260,-0.10130453,0.74249977,1221,Lompnieu,97,9
205,1800,-0.10639007,0.7424978,1223,Loyes,0,0
206,1360,-0.10713303,0.73965424,1224,Loyettes,2256,106
207,1090,-0.111722864,0.745488,1225,Lurcy,199,41
208,1260,-0.10123316,0.7413201,1226,Luthézieu,0,0
209,1300,-0.10085512,0.73922765,1227,Magnieu,290,47
210,1430,-0.10218101,0.7455286,1228,Maillat,623,55
211,1340,-0.10660386,0.749267,1229,Malafretaz,624,68
212,1560,-0.10719321,0.7510971,1230,Mantenay-Montlin,256,24
213,1570,-0.10952157,0.7502051,1231,Manziat,1482,117
214,1851,-0.10537424,0.7494149999999999,1232,Marboz,2026,50
215,1680,-0.10286978,0.7394538,1233,Marchamp,106,8
216,1300,-0.10082296,0.73951703,1234,Marignieu,138,39
217,1240,-0.10812016599999999,0.7450486999999999,1235,Marlieux,633,38
218,1340,-0.10756544,0.749675,1236,Marsonnas,728,40
219,1810,-0.101417616,0.7469078,1237,Martignat,1003,76
220,1600,-0.11124245,0.7427885999999999,1238,Massieux,1782,575
221,1300,-0.10031452,0.7385822,1239,Massignieu-de-Rives,412,43
222,1580,-0.101718955,0.74782085,1240,Matafelon-Granges,406,19
223,1370,-0.10434667,0.747829,1241,Meillonnas,1051,59
224,1450,-0.10371455,0.7445314000000001,1242,Mérignat,85,27
225,1800,-0.10685989,0.74196684,1244,Meximieux,6230,453
226,1250,-0.10398162,0.7457345000000001,1245,Bohas-Meyriat-Rignat,657,28
227,1660,-0.10817257,0.74798805,1246,Mézériat,1995,104
228,1170,-0.096341684,0.7489861999999999,1247,Mijoux,258,12
229,1390,-0.11007333,0.7423522,1248,Mionnay,1103,56
230,1600,-0.11130065,0.74396914,1250,Misérieux,1224,165
231,1280,-0.09532982,0.74712086,1251,Moéns,0,0
232,1140,-0.11098001,0.74656975,1252,Mogneneins,491,57
233,1800,-0.10615535,0.7427634,1253,Mollon,0,0
234,1250,-0.10531415,0.7464758,1254,Montagnat,1173,85
235,1470,-0.10384379,0.73985785,1255,Montagnieu,356,57
236,1200,-0.09911537,0.7457723,1257,Montanges,248,18
237,1090,-0.111251235,0.7460167,1258,Montceaux,672,67
238,1310,-0.10724373,0.74729013,1259,Montcet,420,63
239,1800,-0.108397454,0.7427362,1260,Le Montellier,170,11
240,1390,-0.1099678,0.74321926,1261,Monthieux,344,32
241,1120,-0.10877177,0.7413152,1262,Montluel,5954,148
242,1090,-0.11168703,0.7457771,1263,Montmerle-sur-Saéne,2596,624
243,1310,-0.107278205,0.747001,1264,Montracol,551,38
244,1340,-0.10676871,0.7495798,1266,Montrevel-en-Bresse,1973,192
245,1300,-0.101750635,0.73669183,1268,Murs-et-Gélignieux,188,29
246,1460,-0.10134804,0.7457275999999999,1269,Nantua,3602,282
247,1580,-0.102649264,0.74675417,1270,Napt,0,0
248,1300,-0.10034648,0.7382928000000001,1271,Nattages,322,31
249,1400,-0.10871136,0.74687976,1272,Neuville-les-Dames,1141,43
250,1160,-0.10448223,0.74491316,1273,Neuville-sur-Ain,1151,58
251,1130,-0.10118049,0.7454156999999999,1274,Les Neyrolles,615,65
252,1120,-0.10860539,0.741002,1276,Niévroz,1061,101
253,1230,-0.103880785,0.74308527,1277,Nivollet-Montgriffon,66,8
254,1200,-0.09941114,0.744926,1278,Ochiaz,0,0
255,1230,-0.10354575,0.7424607,1279,Oncieu,68,9
256,1510,-0.10297265,0.7403444,1280,Ordonnaz,115,8
257,1210,-0.095299125,0.74741054,1281,Ornex,2263,401
258,1430,-0.10231223,0.74437124,1282,Outriaz,275,47
259,1100,-0.10055373,0.7473968000000001,1283,Oyonnax,23869,663
260,1190,-0.10925199,0.75075907,1284,Ozan,408,62
261,1600,-0.11144314,0.74281335,1285,Parcieux,784,250
262,1300,-0.100516155,0.7386045,1286,Parves,286,52
263,1260,-0.10076666599999999,0.74185383,1287,Passin,0,0
264,1630,-0.09745228,0.7461766,1288,Péron,1202,46
265,1960,-0.10627933,0.74688244,1289,Péronnas,5352,305
266,1800,-0.10706077,0.74199057,1290,Pérouges,851,45
267,1540,-0.108771175,0.7480603,1291,Perrex,714,64
268,1260,-0.10117486,0.74365723,1292,Le Petit-Abergement,141,5
269,1430,-0.10254824,0.7458634,1293,Peyriat,154,26
270,1140,-0.111015625,0.7462809,1295,Peyzieux-sur-Saéne,245,28
271,1270,-0.10467522,0.7502128,1296,Pirajoux,304,23
272,1120,-0.10830054,0.74184495,1297,Pizay,433,39
273,1130,-0.0998834,0.7461501,1298,Plagne,73,12
274,1330,-0.10802377,0.74415743,1299,Le Plantay,344,17
275,1130,-0.10034776,0.7456156,1300,Le Poizat,270,15
276,1310,-0.10694078,0.7481339,1301,Polliat,2025,101
277,1350,-0.1004201,0.7394723000000001,1302,Pollieu,108,29
278,1450,-0.10408176,0.74486685,1303,Poncin,1229,62
279,1160,-0.10494996,0.7443812,1304,Pont-d'Ain,2258,201
280,1190,-0.108947486,0.75160235,1305,Pont-de-Vaux,1913,254
281,1290,-0.10989753,0.748784,1306,Pont-de-Veyle,1421,732
282,1460,-0.101915404,0.74608475,1307,Port,773,182
283,1550,-0.09737739,0.7449969,1308,Pougny,600,77
284,1250,-0.10318243,0.7491603,1309,Pouillat,38,6
285,1300,-0.10185546,0.73758227,1310,Prémeyzel,190,25
286,1110,-0.10250467,0.7408772,1311,Prémillieu,40,5
287,1370,-0.10378025,0.74922925,1312,Pressiat,155,26
288,1280,-0.095560275,0.7468526,1313,Prévessin-Moens,3723,308
289,1160,-0.10565247,0.7435838,1314,Priay,948,60
290,1510,-0.10159622,0.7398962,1316,Pugieu,123,25
291,1250,-0.104447424,0.7469610999999999,1317,Ramasse,189,19
292,1390,-0.110734746,0.7436060999999999,1318,Rancé,410,43
293,1990,-0.10948629,0.7455069999999999,1319,Relevant,327,26
294,1620,-0.10982676,0.74936223,1320,Replonges,2687,162
295,1250,-0.104714476,0.74640584,1321,Revonnas,438,57
296,1600,-0.11140752,0.74310225,1322,Reyrieux,3057,195
297,1190,-0.109146215,0.75162655,1323,Reyssouze,709,74
298,1250,-0.10434819,0.7460701,1324,Rignat,0,0
299,1800,-0.10699234,0.74256885,1325,Rignieux-le-Franc,743,49
300,1250,-0.103481755,0.74655646,1327,Romanéche,0,0
301,1400,-0.108416155,0.7459642,1328,Romans,480,22
302,1510,-0.10216762,0.7402533,1329,Rossillon,103,13
303,1260,-0.10103906,0.74305606,1330,Ruffieu,144,10
304,1450,-0.10344783,0.74508715,1331,Saint-Alban,122,15
305,1380,-0.10942824,0.7493135999999999,1332,Saint-André-de-Bégé,437,162
306,1390,-0.109837405,0.74261683,1333,Saint-André-de-Corcy,2547,123
307,1290,-0.109604485,0.74786824,1334,Saint-André-d'Huiriat,368,41
308,1240,-0.10781615,0.7458922,1335,Saint-André-le-Bouchoux,171,18
309,1240,-0.10794683,0.7464943,1336,Saint-André-sur-Vieux-Jonc,979,40
310,1190,-0.108549975,0.7515539999999999,1337,Saint-Bénigne,823,50
311,1300,-0.10263019,0.73796225,1338,Saint-Benoét,488,23
312,1300,-0.102024846,0.7378941,1340,Saint-Bois,113,12
313,1300,-0.10065364,0.7392053000000001,1341,Saint-Champ-Chatonod,143,28
314,1380,-0.10870121,0.7486384,1343,Saint-Cyr-sur-Menthon,1243,73
315,1000,-0.106245175,0.7471715999999999,1344,Saint-Denis-lés-Bourg,4145,329
316,1500,-0.105151765,0.7426461,1345,Saint-Denis-en-Bugey,1780,682
317,1340,-0.107634775,0.7490967,1346,Saint-Didier-d'Aussiat,594,39
318,1600,-0.11177303,0.74344075,1347,Saint-Didier-de-Formans,1288,197
319,1140,-0.11090874,0.7471479,1348,Saint-Didier-sur-Chalaronne,2065,83
320,1800,-0.10739383,0.7426164000000001,1349,Saint-éloi,358,25
321,1370,-0.10507730400000001,0.7485005,1350,Saint-étienne-du-Bois,1982,70
322,1140,-0.11034496,0.7467851,1351,Saint-étienne-sur-Chalaronne,1037,49
323,1190,-0.10822234,0.7509276,1352,Saint-étienne-sur-Reyssouze,376,27
324,1600,-0.11173729,0.7437296,1353,Sainte-Euphémie,857,186
325,1630,-0.09635944,0.74693775,1354,Saint-Genis-Pouilly,5696,583
326,1380,-0.10826753,0.74887943,1355,Saint-Genis-sur-Menthon,324,28
327,1400,-0.10845094,0.7456752,1356,Saint-Georges-sur-Renon,126,22
328,1130,-0.0998834,0.7461501,1357,Saint-Germain-de-Joux,465,41
329,1300,-0.102096505,0.7390736,1358,Saint-Germain-les-Paroisses,273,17
330,1240,-0.10828562,0.7453619,1359,Saint-Germain-sur-Renon,190,12
331,1630,-0.09722105,0.74644464,1360,Saint-Jean-de-Gonville,1001,81
332,1800,-0.10679531,0.7407868000000001,1361,Saint-Jean-de Niost,810,57
333,1390,-0.11056960000000002,0.7432926,1362,Saint-Jean-de-Thurigneux,504,31
334,1560,-0.10742672,0.75083184,1364,Saint-Jean-sur-Reyssouze,541,20
335,1290,-0.109533995,0.74844635,1365,Saint-Jean-sur-Veyle,926,83
336,1150,-0.10588925,0.7415596999999999,1366,Sainte-Julie,529,47
337,1560,-0.10682995,0.7507604999999999,1367,Saint-Julien-sur-Reyssouze,532,71
338,1540,-0.10924047,0.7475304,1368,Saint-Julien-sur-Veyle,522,53
339,1620,-0.11042445,0.74943566,1370,Saint-Laurent-sur-Saéne,1710,3226
340,1510,-0.101128966,0.74042976,1372,Saint-Martin-de-Bavel,327,38
341,1430,-0.10218101,0.7455286,1373,Saint-Martin-du-Fréne,971,51
342,1160,-0.10484903,0.7452489999999999,1374,Saint-Martin-du-Mont,1179,42
343,1310,-0.10707133,0.748736,1375,Saint-Martin-le-Chétel,555,43
344,1700,-0.109811865,0.7411475000000001,1376,Saint-Maurice-de-Beynost,3468,496
345,1800,-0.1070306,0.7405215,1378,Saint-Maurice-de-Gourdans,1575,62
346,1500,-0.10575394,0.7427163,1379,Saint-Maurice-de-Rémens,613,59
347,1560,-0.10632902,0.75158083,1380,Saint-Nizier-le-Bouchoux,625,22
348,1320,-0.10715344,0.74464023,1381,Saint-Nizier-le-Désert,484,19
349,1330,-0.109827116,0.74437517,1382,Sainte-Olive,196,27
350,1240,-0.10725049,0.74553156,1383,Saint-Paul-de-Varax,1081,42
351,1230,-0.10394728,0.7425068,1384,Saint-Rambert-en-Bugey,2112,74
352,1310,-0.10667889,0.7469296999999999,1385,Saint-Rémy,668,91
353,1150,-0.10488431,0.7414427,1386,Saint-Sorlin-en-Bugey,832,92
354,1560,-0.107089356,0.7519648,1388,Saint-Trivier-de-Courtes,1064,64
355,1990,-0.11012188,0.745291,1389,Saint-Trivier-sur-Moignans,1471,35
356,1150,-0.10599071,0.7406924,1390,Saint-Vulbas,710,33
357,1270,-0.10411160400000001,0.7498541,1391,Salavre,246,32
358,1580,-0.10155205,0.747509,1392,Samognat,285,20
359,1400,-0.10912109,0.7451693,1393,Sandrans,346,12
360,1150,-0.10434789,0.7407946999999999,1396,Sault-Brénaz,1014,181
361,1220,-0.09503818,0.7479687,1397,Sauverny,1067,565
362,1480,-0.110864274,0.74420875,1398,Savigneux,792,54
363,1170,-0.095468014,0.7477214,1399,Ségny,1211,374
364,1470,-0.10364244,0.7398348000000001,1400,Seillonnaz,120,13
365,1630,-0.09655921,0.7469591999999999,1401,Sergy,1201,127
366,1190,-0.108211234,0.7526866,1402,Sermoyer,522,31
367,1450,-0.10334828,0.7459548,1404,Serriéres-sur-Ain,71,9
368,1240,-0.10678175,0.7460621000000001,1405,Servas,879,67
369,1560,-0.10735737,0.7514102,1406,Servignat,136,17
370,1250,-0.10361494,0.74715817,1408,Simandre-sur-Suran,574,35
371,1260,-0.10070222599999999,0.7424324999999999,1409,Songieu,101,5
372,1580,-0.10218386,0.74728745,1410,Sonthonnax-la-Montagne,242,17
373,1150,-0.10431459,0.74108386,1411,Souclin,197,15
374,1400,-0.109110914,0.7469281,1412,Sulignat,434,40
375,1420,-0.09940195,0.74316734,1413,Surjoux,70,16
376,1260,-0.10133693,0.74221057,1414,Sutrieu,209,11
377,1510,-0.10069436,0.74067426,1415,Talissieu,401,84
378,1230,-0.10321018,0.7418363,1416,Tenay,1356,103
379,1110,-0.102069825,0.74112105,1417,Thézillieu,297,11
380,1120,-0.10924352,0.7407855999999999,1418,Thil,769,149
381,1140,-0.11110847,0.74717253,1420,Thoissey,1306,975
382,1230,-0.10441554,0.7419746,1421,Torcieu,569,53
383,1250,-0.10498179,0.74585056,1422,Tossiat,979,96
384,1600,-0.11113578,0.7436554,1423,Toussieux,437,92
385,1390,-0.109741785,0.74172544,1424,Tramoyes,1136,88
386,1160,-0.10561571,0.7456316,1425,La Trancliére,254,17
387,1600,-0.112009384,0.74317664,1427,Trévoux,6092,1067
388,1140,-0.11041582400000001,0.7462072,1428,Valeins,61,14
389,1660,-0.10760851,0.7476271,1429,Vandeins,415,44
390,1160,-0.10518399,0.7441154000000001,1430,Varambon,353,44
391,1150,-0.10501816,0.7420443,1431,Vaux-en-Bugey,881,107
392,1270,-0.1041452,0.74956465,1432,Verjon,235,46
393,1560,-0.10665753,0.75220656,1433,Vernoux,148,15
394,1330,-0.10789242,0.7435554,1434,Versailleux,219,12
395,1170,-0.09537577,0.7485901,1436,Vesancy,363,34
396,1560,-0.10768532,0.7520364,1437,Vescours,184,15
397,1570,-0.10991966,0.7502538000000001,1439,Vésines,108,28
398,1100,-0.100888096,0.74802035,1440,Veyziat,0,0
399,1430,-0.1024797,0.7446834,1441,Vieu-d'Izenave,524,22
400,1260,-0.10103213,0.74129754,1442,Vieu,293,45
401,1330,-0.10886016,0.74396485,1443,Villars-les-Dombes,3415,139
402,1150,-0.10414676,0.7407716,1444,Villebois,924,64
403,1270,-0.104543574,0.7496109999999999,1445,Villemotier,419,30
404,1250,-0.10408132,0.7466255999999999,1447,Villereversure,1003,57
405,1200,-0.09947495,0.7443470999999999,1448,Villes,226,25
406,1440,-0.10594315,0.74801576,1451,Viriat,4701,104
407,1510,-0.1015314,0.74047476,1452,Virieu-le-Grand,922,73
408,1260,-0.10063006,0.74125284,1453,Virieu-le-Petit,279,17
409,1300,-0.10098372,0.7380705,1454,Virignin,550,70
410,1460,-0.10248236,0.74644214,1455,Volognat,0,0
411,1350,-0.10079081,0.7398063,1456,Vongnes,92,45
